latitude,longitude,occurrenceDate
9.63345,-82.64492,2008-07-18T22:00:00.000+0000
9.94468,-84.15775,2006-07-22T22:00:00.000+0000
9.94468,-84.15775,2006-07-22T22:00:00.000+0000
10.70445,-84.19218,2005-01-16T23:00:00.000+0000
10.70445,-84.19218,2005-01-16T23:00:00.000+0000
10.70445,-84.19218,2005-01-16T23:00:00.000+0000
10.57,-84.34889,2005-03-24T23:00:00.000+0000
10.43,-84.0,2003-04-09T22:00:00.000+0000
9.56,-82.64,1999-03-04T23:00:00.000+0000
9.56,-82.63667,1999-03-04T23:00:00.000+0000
9.56,-82.63667,1999-03-04T23:00:00.000+0000
9.56,-82.63667,1999-03-04T23:00:00.000+0000
10.63,-84.28,1996-06-18T22:00:00.000+0000
10.62,-84.27,1996-06-18T22:00:00.000+0000
10.62639,-84.27917,1996-06-18T22:00:00.000+0000
10.43,-84.03,1996-08-02T22:00:00.000+0000
10.42,-84.0,1996-08-02T22:00:00.000+0000
10.44,-83.78,1995-07-07T22:00:00.000+0000
10.44167,-83.78889,1995-07-07T22:00:00.000+0000
,,1995-11-28T23:00:00.000+0000
,,1995-11-28T23:00:00.000+0000
10.43,-83.78,
10.64,-83.73,1994-06-24T22:00:00.000+0000
10.64389,-83.73611,1994-06-24T22:00:00.000+0000
10.51,-83.71,1994-09-16T22:00:00.000+0000
10.43333,-84.01667,1993-01-06T23:00:00.000+0000
10.43,-84.02,1993-01-06T23:00:00.000+0000
10.64,-84.0,1993-03-08T23:00:00.000+0000
10.64,-84.0,1993-03-08T23:00:00.000+0000
10.64167,-84.00417,1993-03-08T23:00:00.000+0000
10.7,-84.16667,1993-06-22T22:00:00.000+0000
10.7,-84.16,1993-06-22T22:00:00.000+0000
10.7,-84.16,1993-06-22T22:00:00.000+0000
0.0,0.0,1992-07-14T22:00:00.000+0000
10.41,-83.95,1991-01-21T23:00:00.000+0000
11.12,-84.36,1991-07-31T22:00:00.000+0000
10.41667,-83.56667,1987-10-30T23:00:00.000+0000
10.41,-83.56,1987-10-30T23:00:00.000+0000
10.41,-83.56,1987-10-30T23:00:00.000+0000
10.41,-83.56,1987-10-30T23:00:00.000+0000
10.51,-83.5,1987-11-22T23:00:00.000+0000
10.51,-83.5,1987-11-22T23:00:00.000+0000
10.51667,-83.5,1987-11-22T23:00:00.000+0000
9.45,-79.1,1986-03-26T23:00:00.000+0000
8.91667,-82.16667,1986-06-23T22:00:00.000+0000
8.91,-82.17,1986-12-23T23:00:00.000+0000
0.0,0.0,1984-07-17T22:00:00.000+0000
10.43,-84.03,1982-06-08T22:00:00.000+0000
10.43,-84.0,1982-06-08T22:00:00.000+0000
10.43,-84.0,1980-10-08T23:00:00.000+0000
,,1979-07-26T23:00:00.000+0000
10.5,-83.78,1978-03-17T23:00:00.000+0000
,,1977-12-29T23:00:00.000+0000
9.6,-83.8,1976-08-06T23:00:00.000+0000
6.85,-77.45,1974-01-18T23:00:00.000+0000
0.0,0.0,
10.43,-84.0,
0.0,0.0,1973-08-22T23:00:00.000+0000
,,1971-08-01T23:00:00.000+0000
,,1971-11-29T23:00:00.000+0000
9.16,-79.84,1970-05-13T23:00:00.000+0000
10.42,-84.02,1969-03-31T23:00:00.000+0000
9.17,-79.84,1969-10-27T23:00:00.000+0000
9.15472,-79.84861,1968-08-10T23:00:00.000+0000
9.16,-79.84,1968-09-14T23:00:00.000+0000
9.16,-79.84,1967-07-09T23:00:00.000+0000
7.63,-77.83,1966-09-12T23:00:00.000+0000
0.0,0.0,1965-02-19T23:00:00.000+0000
7.9,-77.4,1959-06-08T23:00:00.000+0000
9.28,-82.42,1957-06-11T23:00:00.000+0000
0.0,0.0,
8.35,-77.37,1947-06-11T22:00:00.000+0000
0.0,0.0,1946-07-30T22:00:00.000+0000
0.0,0.0,1946-07-30T22:00:00.000+0000
8.88,-79.8,1946-07-30T22:00:00.000+0000
0.0,0.0,1946-07-30T22:00:00.000+0000
0.0,0.0,1946-07-30T22:00:00.000+0000
9.25,-82.38,1940-09-12T22:00:00.000+0000
9.15,-79.85,1937-07-08T23:00:00.000+0000
9.15,-79.85,1937-07-08T23:00:00.000+0000
0.0,0.0,1935-08-07T23:00:00.000+0000
9.18,-79.84,1934-07-13T23:00:00.000+0000
9.18,-79.84,1934-07-13T23:00:00.000+0000
9.16,-79.84,1931-10-30T23:00:00.000+0000
9.16,-79.84,1931-12-30T23:00:00.000+0000
8.66,-78.54,1911-07-18T23:00:00.000+0000
10.0114,-83.9519,
,,
0.0,0.0,
,,
,,
,,
,,
