latitude,longitude,occurrenceDate
10.4288,-84.0128,2012-01-25T23:00:00.000+0000
10.4288,-84.0128,2012-01-03T23:00:00.000+0000
10.4288,-84.0128,2012-01-02T23:00:00.000+0000
10.47837,-84.76427,2012-01-29T23:00:00.000+0000
10.4288,-84.0128,2012-01-03T23:00:00.000+0000
10.4288,-84.0128,2012-01-24T23:00:00.000+0000
10.4288,-84.0128,2012-01-02T23:00:00.000+0000
10.45132,-84.06965,2012-01-10T23:00:00.000+0000
10.45852,-83.98957,2012-01-18T23:00:00.000+0000
10.4288,-84.0128,2012-01-03T23:00:00.000+0000
10.4288,-84.0128,2012-01-02T23:00:00.000+0000
10.45516,-84.00149,2012-02-08T23:00:00.000+0000
10.51567,-83.50485,2012-02-05T23:00:00.000+0000
10.45247,-84.01621,2012-02-17T23:00:00.000+0000
10.4516,-84.1211,2012-02-11T23:00:00.000+0000
10.4288,-84.0128,2012-02-03T23:00:00.000+0000
10.4288,-84.0128,2012-02-18T23:00:00.000+0000
9.98549,-84.26099,2012-02-15T23:00:00.000+0000
10.4288,-84.0128,2012-02-09T23:00:00.000+0000
10.4288,-84.0128,2012-02-07T23:00:00.000+0000
10.4288,-84.0128,2012-02-18T23:00:00.000+0000
10.4288,-84.0128,2012-02-02T23:00:00.000+0000
10.4288,-84.0128,2012-02-01T23:00:00.000+0000
10.4502,-84.0677,2012-02-17T23:00:00.000+0000
10.41562,-84.12078,2012-02-24T23:00:00.000+0000
10.4288,-84.0128,2012-02-16T23:00:00.000+0000
10.4502,-84.0677,2012-02-17T23:00:00.000+0000
10.44335,-84.00629,2012-02-08T23:00:00.000+0000
10.4288,-84.0128,2012-03-23T23:00:00.000+0000
10.45503,-84.05847,2012-03-13T23:00:00.000+0000
10.68636,-84.20616,2012-03-30T22:00:00.000+0000
10.4288,-84.0128,2012-03-02T23:00:00.000+0000
10.46525,-84.11408,2012-03-30T22:00:00.000+0000
10.53861,-83.5025,2012-03-25T22:00:00.000+0000
10.4288,-84.0128,2012-03-08T23:00:00.000+0000
10.4288,-84.0128,2012-03-07T23:00:00.000+0000
10.68636,-84.20616,2012-03-30T22:00:00.000+0000
11.00464,-84.37702,2012-04-11T22:00:00.000+0000
10.4288,-84.0128,2012-04-26T22:00:00.000+0000
10.4502,-84.0677,2012-04-02T22:00:00.000+0000
10.43587,-84.04466,2012-04-15T22:00:00.000+0000
10.4288,-84.0128,2012-04-09T22:00:00.000+0000
10.68636,-84.20616,2012-04-01T22:00:00.000+0000
10.4288,-84.0128,2012-04-09T22:00:00.000+0000
10.68636,-84.20616,2012-03-31T22:00:00.000+0000
